ID,Census County Division,Population,Households,Latitude,Longitude
603790015,"Agoura Hills-Malibu",63824,26547,34.059545,-118.7552082
603790560,"Compton",342576,89732,33.8696415,-118.2451847
603790730,"Downey-Norwalk",414144,123852,33.9025347,-118.1092628
603790810,"East San Gabriel Valley",935875,276360,34.0625337,-117.8584738
603791400,"Inglewood",369694,125450,33.9227893,-118.3350921
603791730,"Long Beach-Lakewood",569100,212168,33.7857737,-118.162199
603791750,"Los Angeles",2504251,986300,33.9958488,-118.3598178
603792360,"Palos Verdes",91365,37072,33.7708498,-118.3786841
603792400,"Pasadena",268040,109167,34.1712391,-118.1498992
603792785,"San Fernando Valley",1771545,638641,34.2495663,-118.4179218
603792920,"Santa Monica",89736,50912,34.0122714,-118.4998283
603793100,"South Bay Cities",138043,63110,33.8696728,-118.4052294
603793155,"South Gate-East Los Angeles",501237,125701,33.9865947,-118.18677
603793200,"Southwest San Gabriel Valley",318982,105726,34.058751,-118.1135014
603793380,"Torrance",145438,58377,33.8304529,-118.3566183
603793510,"Upper San Gabriel Valley",323899,103122,34.1146801,-118.0270005
603793730,"Whittier",316911,96499,33.9564315,-118.0321853
